代號,名稱,市場
1605,華新,市
1609,大亞,市
1611,中電,市
1707,葡萄王,市
1710,東聯,市
1712,興農,市
1714,和桐,市
1717,長興,市
1718,中纖,市
1722,台肥,市
1733,五鼎,市
1760,寶齡富錦,市
1786,科妍,市
1789,神隆,市
1802,台玻,市
1904,正隆,市
1907,永豐餘,市
1909,榮成,市
2002,中鋼,市
2006,東和鋼鐵,市
2009,第一銅,市
2013,中鋼構,市
2014,中鴻,市
2027,大成鋼,市
2049,上銀,市
2104,國際中橡,市
2108,南帝,市
2201,裕隆,市
2207,和泰車,市
2208,台船,市
2301,光寶科,市
2308,台達電,市
2312,金寶,市
2313,華通,市
2323,中環,市
2329,華泰,市
2332,友訊,市
2338,光罩,市
2340,光磊,市
2344,華邦電,市
2345,智邦,市
2349,錸德,市
2352,佳世達,市
2354,鴻準,市
2359,所羅門,市
2363,矽統,市
2367,燿華,市
2368,金像電,市
2375,智寶,市
2376,技嘉,市
2377,微星,市
2382,廣達,市
2383,台光電,市
2385,群光,市
2390,云辰,市
2392,正崴,市
2395,研華,市
2401,凌陽,市
2402,毅嘉,市
2406,國碩,市
2409,友達,市
2417,圓剛,市
2421,建準,市
2425,承啟,市
2426,鼎元,市
2439,美律,市
2441,超豐,市
2442,新美齊,市
2444,兆勁,市
2448,晶電,市
2449,京元電子,市
2454,聯發科,市
2456,奇力新,市
2458,義隆,市
2464,盟立,市
2478,大毅,市
2481,強茂,市
2485,兆赫,市
2489,瑞軒,市
2499,東貝,市
2501,國建,市
2511,太子,市
2515,中工,市
2520,冠德,市
2534,宏盛,市
2538,基泰,市
2542,興富發,市
2547,日勝生,市
2548,華固,市
2601,益航,市
2603,長榮,市
2605,新興,市
2606,裕民,市
2609,陽明,市
2610,華航,市
2615,萬海,市
2617,台航,市
2618,長榮航,市
2634,漢翔,市
2705,六福,市
2801,彰銀,市
2812,台中銀,市
2823,中壽,市
2834,臺企銀,市
2838,聯邦銀,市
2841,台開,市
2845,遠東銀,市
2855,統一證,市
2867,三商壽,市
2883,開發金,市
2885,元大金,市
2887,台新金,市
2888,新光金,市
2889,國票金,市
2890,永豐金,市
2897,王道銀行,市
2903,遠百,市
2906,高林,市
2912,統一超,市
2915,潤泰全,市
3003,健和興,市
3005,神基,市
3006,晶豪科,市
3013,晟銘電,市
3017,奇鋐,市
3026,禾伸堂,市
3027,盛達,市
3034,聯詠,市
3035,智原,市
3036,文曄,市
3038,全台,市
3041,揚智,市
3049,和鑫,市
3059,華晶科,市
3062,建漢,市
3090,日電貿,市
3189,景碩,市
3209,全科,市
3231,緯創,市
3321,同泰,市
3338,泰碩,市
3413,京鼎,市
3419,譁裕,市
3437,榮創,市
3443,創意,市
3450,聯鈞,市
3481,群創,市
3494,誠研,市
3504,揚明光,市
3533,嘉澤,市
3563,牧德,市
3576,聯合再生,市
3591,艾笛森,市
3596,智易,市
3645,達邁,市
3653,健策,市
3661,世芯-KY,市
3665,貿聯-KY,市
3673,TPK-KY,市
3682,亞太電,市
3698,隆達,市
3702,大聯大,市
3706,神達,市
3708,上緯投控,市
4119,旭富,市
4137,麗豐-KY,市
4142,國光生,市
4190,佐登-KY,市
4414,如興,市
4536,拓凱,市
4725,信昌化,市
4904,遠傳,市
4906,正文,市
4919,新唐,市
4927,泰鼎-KY,市
4938,和碩,市
4958,臻鼎-KY,市
4960,誠美材,市
5264,鎧勝-KY,市
5269,祥碩,市
5305,敦南,市
5388,中磊,市
5469,瀚宇博,市
5519,隆大,市
5534,長虹,市
5871,中租-KY,市
5876,上海商銀,市
6116,彩晶,市
6120,達運,市
6141,柏承,市
6153,嘉聯益,市
6168,宏齊,市
6176,瑞儀,市
6191,精成科,市
6202,盛群,市
6209,今國光,市
6213,聯茂,市
6230,超眾,市
6235,華孚,市
6257,矽格,市
6269,台郡,市
6271,同欣電,市
6278,台表科,市
6282,康舒,市
6285,啟碁,市
6443,元晶,市
6451,訊芯-KY,市
6456,GIS-KY,市
6505,台塑化,市
6552,易華電,市
6558,興能高,市
6668,中揚光,市
6669,緯穎,市
8016,矽創,市
8033,雷虎,市
8039,台虹,市
8046,南電,市
8105,凌巨,市
8110,華東,市
8112,至上,市
8150,南茂,市
8163,達方,市
8261,富鼎,市
8429,金麗-KY,市
8464,億豐,市
8482,商億-KY,市
9904,寶成,市
9907,統一實,市
9914,美利達,市
9921,巨大,市
9938,百和,市
9945,潤泰新,市
